1,GESTÃO DA PRODUÇÃO 
2, GESTÃO DA QUALIDADE 
3, GESTÃO ECONÔMICA 
4, ERGONOMIA E SEGURANÇA DO TRABALHO 
5, GESTÃO DO PRODUTO 
6, PESQUISA OPERACIONAL 
7, GESTÃO ESTRATÉGICA E ORGANIZACIONAL 
8, GESTÃO DO CONHECIMENTO ORGANIZACIONAL 
9, GESTÃO AMBIENTAL 
10, EDUCAÇÃO EM ENGENHARIA DE PRODUÇÃO 
11, ENGENHARIA DE PRODUÇÃO E SISTEMAS 
12, SUSTENTABILIDADE E RESPONSABILIDADE SOCIAL 
13, GESTÃO AMBIENTAL DOS PROCESSOS PRODUTIVOS 
14, ENGENHARIA DE PRODUÇÃO
15, ENGENHARIA DE OPERAÇÕES E PROCESSOS DA PRODUÇÃO 
16, LOGÍSTICA 
17, PESQUISA OPERACIONAL 
18, ENGENHARIA DA QUALIDADE 
19, ENGENHARIA DO PRODUTO 
20, ENGENHARIA ORGANIZACIONAL 
21, ENGENHARIA ECONÔMICA 
22, ENGENHARIA DO TRABALHO 
23, ENGENHARIA DA SUSTENTABILIDADE 
